geometry,spin,inclination_deg,quantity,definition,source_class,operator_notation,reference_snr,source_dimension,numerical_rank,exact_rank,exact_rank_reason,trace,stable_rank,min_positive_eigenvalue,max_eigenvalue,min_eigenvalue,numerical_tolerance,disposition,counts_toward_denominator
a000_i020,0.0,20,delta_G_indirect,"G_resolved - G_direct, both Gram matrices of A_C at the reference SNR",C224,A_C = mathcal A Q_C,100.0,224,224,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",6473539.503682914,3.6909384083989796,1.794049554133247e-05,712136.9669458992,1.794049554133247e-05,3.5420262411074744e-08,SUPPORTED,True
a000_i050,0.0,50,delta_G_indirect,"G_resolved - G_direct, both Gram matrices of A_C at the reference SNR",C224,A_C = mathcal A Q_C,100.0,224,224,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",9867639.872374771,2.1542508953127983,7.275332102464966e-07,1973798.57955702,7.275332102464966e-07,9.817277697904913e-08,SUPPORTED,True
a000_i075,0.0,75,delta_G_indirect,"G_resolved - G_direct, both Gram matrices of A_C at the reference SNR",C224,A_C = mathcal A Q_C,100.0,224,195,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",26596581.117078044,1.5813148696696389,6.587124871256648e-07,8425861.41916883,-5.522033544623949e-09,4.1908542367381905e-07,SUPPORTED,True
a050_i020,0.5,20,delta_G_indirect,"G_resolved - G_direct, both Gram matrices of A_C at the reference SNR",C224,A_C = mathcal A Q_C,100.0,224,224,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",6985623.9245753735,4.1153279872783735,1.868539080905761e-05,698163.519139932,1.868539080905761e-05,3.472525118283104e-08,SUPPORTED,True
a050_i050,0.5,50,delta_G_indirect,"G_resolved - G_direct, both Gram matrices of A_C at the reference SNR",C224,A_C = mathcal A Q_C,100.0,224,224,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",9942293.462157274,2.1675933584122213,1.669066635848809e-06,1919127.5661924335,1.669066635848809e-06,9.545355058084961e-08,SUPPORTED,True
a050_i075,0.5,75,delta_G_indirect,"G_resolved - G_direct, both Gram matrices of A_C at the reference SNR",C224,A_C = mathcal A Q_C,100.0,224,196,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",45422801.43957056,1.3123762177552893,1.3878950522799553e-06,18461473.02724816,-4.120831491135411e-09,9.182365885659544e-07,SUPPORTED,True
a090_i020,0.9,20,delta_G_indirect,"G_resolved - G_direct, both Gram matrices of A_C at the reference SNR",C224,A_C = mathcal A Q_C,100.0,224,224,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",7330575.355789135,4.126550227665197,1.5682583686522435e-05,724015.9995978319,1.5682583686522435e-05,3.6011101636182895e-08,SUPPORTED,True
a090_i050,0.9,50,delta_G_indirect,"G_resolved - G_direct, both Gram matrices of A_C at the reference SNR",C224,A_C = mathcal A Q_C,100.0,224,224,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",9952925.379571693,2.135930485702295,4.056773086468924e-06,1898071.70496411,4.056773086468924e-06,9.440627433398254e-08,SUPPORTED,True
a090_i075,0.9,75,delta_G_indirect,"G_resolved - G_direct, both Gram matrices of A_C at the reference SNR",C224,A_C = mathcal A Q_C,100.0,224,196,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",45632853.613121435,1.2770770610718738,5.647448035763745e-06,18569210.083925173,-6.925353194882393e-09,9.235952133755362e-07,SUPPORTED,True
a098_i020,0.98,20,delta_G_indirect,"G_resolved - G_direct, both Gram matrices of A_C at the reference SNR",C224,A_C = mathcal A Q_C,100.0,224,224,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",7553291.648163085,4.006433577380158,8.751421801298914e-06,764616.9614586734,8.751421801298914e-06,3.803051193223946e-08,SUPPORTED,True
a098_i050,0.98,50,delta_G_indirect,"G_resolved - G_direct, both Gram matrices of A_C at the reference SNR",C224,A_C = mathcal A Q_C,100.0,224,224,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",10131234.218417281,2.0317505022567492,1.2134286230437522e-05,2007080.1969341086,1.2134286230437522e-05,9.982813778136376e-08,SUPPORTED,True
a098_i075,0.98,75,delta_G_indirect,"G_resolved - G_direct, both Gram matrices of A_C at the reference SNR",C224,A_C = mathcal A Q_C,100.0,224,197,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",46639911.19438244,1.2699359958041483,1.0664519798211532e-06,18934434.889442004,-1.851840017813573e-08,9.417607616490929e-07,SUPPORTED,True
