estimator,snr0,contrast,delta_L_stable_anchor,L_stable_anchor_reference,L_stable_anchor_arm,delta_L_stable_anchor_structure,L_stable_anchor_structure_reference,L_stable_anchor_structure_arm,bootstrap_unit,bootstrap_n,note,freeze_sha256
LINEAR_STATE_SPACE,1.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,0.0,0.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,1.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,0.0,0.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,1.0,TOTAL_FLUX - DIRECT_PHYSICAL,0.0,0.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,3.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,88.0,0.0,88.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,3.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,28.0,0.0,28.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,3.0,TOTAL_FLUX - DIRECT_PHYSICAL,0.0,0.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,10.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,4.0,92.0,96.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,10.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,0.0,92.0,92.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,10.0,TOTAL_FLUX - DIRECT_PHYSICAL,-92.0,92.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,30.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,4.0,92.0,96.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
